Date_Time,% On-TimeGateArrivals,AverageBlockDelay,AverageTaxiInDelay,AverageAirborneDelay,AverageAirportDepartureDelay,AverageGateDepartureDelay,AverageGateArrivalDelay
2019-03-01 00:00:00,90.0,7.7,9.47,0.6,13.67,6.67,4.7
2019-03-02 00:00:00,72.73,0.91,2.55,0.0,13.17,5.33,14.73
2019-03-03 00:00:00,75.0,1.0,0.91,0.0,25.5,14.0,11.38
2019-03-04 00:00:00,83.33,1.5,1.13,3.0,26.75,17.5,7.08
2019-03-05 00:00:00,90.91,0.64,1.38,1.27,15.0,12.5,4.09
2019-03-06 00:00:00,77.78,2.56,1.97,1.0,58.33,52.33,11.56
2019-03-07 00:00:00,90.0,0.7,1.77,0.1,15.29,10.29,1.5
2019-03-08 00:00:00,100.0,1.0,3.01,0.7,25.33,17.33,2.3
2019-03-09 00:00:00,100.0,0.64,0.58,0.27,22.8,18.0,1.27
2019-03-10 00:00:00,91.67,0.75,5.39,1.5,9.0,3.5,5.83
2019-03-11 00:00:00,66.67,14.67,3.1,7.0,7.5,0.0,8.0
2019-03-12 00:00:00,100.0,1.29,2.54,1.5,0.0,0.0,2.29
2019-03-13 00:00:00,92.31,1.69,2.2,1.0,0.0,0.0,3.92
2019-03-14 00:00:00,86.67,4.73,5.19,1.6,13.67,3.0,2.67
2019-03-15 00:00:00,60.0,4.87,3.01,4.13,64.0,65.0,14.67
2019-03-16 00:00:00,69.23,1.54,3.08,0.77,32.0,24.5,16.62
2019-03-17 00:00:00,93.33,0.47,3.11,0.73,29.33,23.67,2.67
2019-03-18 00:00:00,85.71,2.07,2.29,0.57,13.0,7.0,8.29
2019-03-19 00:00:00,85.71,2.79,5.18,0.57,36.0,33.0,8.5
2019-03-20 00:00:00,83.33,3.08,3.8,0.5,5.4,0.4,3.17
2019-03-21 00:00:00,100.0,2.87,2.15,0.4,8.67,3.33,3.53
2019-03-22 00:00:00,94.12,2.71,2.06,0.88,74.0,72.0,4.88
2019-03-23 00:00:00,84.62,3.77,4.73,0.85,65.33,60.0,11.92
2019-03-24 00:00:00,94.12,0.88,2.98,0.29,6.0,2.0,2.53
2019-03-25 00:00:00,73.33,3.27,2.57,1.07,29.33,13.67,30.0
2019-03-26 00:00:00,80.0,1.07,4.25,0.8,35.0,29.0,10.8
2019-03-27 00:00:00,76.92,2.38,2.45,0.46,18.0,16.0,19.62
2019-03-28 00:00:00,66.67,3.28,4.8,0.94,10.0,8.0,19.22
2019-03-29 00:00:00,81.82,0.45,2.33,0.18,11.0,2.0,3.82
2019-03-30 00:00:00,85.71,1.43,3.56,0.29,8.5,0.0,15.43
2019-03-31 00:00:00,84.62,1.92,2.12,0.77,98.0,96.0,4.08
2019-04-01 00:00:00,93.33,2.07,5.15,2.2,11.0,0.0,3.33
2019-04-02 00:00:00,86.67,2.2,2.98,2.13,0.0,0.0,5.53
2019-04-03 00:00:00,91.67,2.42,2.75,0.25,0.5,0.0,1.92
